HUC_8,latitude,longitude,Total phosphorus concentration in soil (ppm),Mehlich-3 (M3) phosphorus concentration in soil (ppm),Soil Fertility Level
17100312,42.0566,-124.1021,250,10.1743904848197,Very Low
17110002,48.6773,-122.2837,560,91.8308860948003,Excessive
17110005,48.6339,-121.3187,1395,516.915287993781,Excessive
17110006,48.0885,-121.2984,250,10.1743904848197,Very Low
17110007,48.3409,-122.2894,470,59.4031694844761,Excessive
17110009,47.913,-121.70995,1105,366.37762085526,Excessive
17110010,47.5211,-121.9288,610,112.297416175949,Excessive
17110012,47.661,-122.1354,950,282.457908751861,Excessive
17110014,47.1753,-121.788,725,165.523974281284,Excessive
17110017,47.4644,-123.2198,550,87.9322359360527,Excessive
17110018,47.71455,-122.98695,770,186.616965716871,Excessive
17110019,47.6239,-122.957,1075,355.68489223357,Excessive
17110020,47.9977,-123.3223,350,26.8759494162968,Medium
17120001,43.2316,-118.9224,870,237.093387065707,Excessive
17120002,44.0629333333333,-119.161466666667,843.333333333333,227.092292830159,Excessive
17120003,42.933,-118.86955,1380,510.968329457764,Excessive
17120004,43.6135,-119.7538,595,108.734667570833,Excessive
17120005,43.1866666666667,-120.567933333333,790,196.938326169728,Excessive
17120006,42.6188,-120.6909,610,112.297416175949,Excessive
17120007,42.5416,-119.906475,1200,415.541342745141,Excessive
17120008,42.1189,-119.29495,670,163.620290709238,Excessive
17120009,42.8245,-118.4375,1770,716.42207001618,Excessive
18010101,42.0723,-124.0284,200,5.21198719590324,Very Low
18010102,41.303,-124.017,720,162.079959510226,Excessive
18010104,39.6784,-122.9721,600,108.080858361339,Excessive
18010105,40.3855166666667,-123.756566666667,863.333333333333,235.929948372523,Excessive
18010106,39.8415,-123.6265,660,143.084176802971,Excessive
18010108,39.0714333333333,-123.380466666667,796.666666666667,239.644991594187,Excessive
18010110,38.626,-122.9248,485,82.6920361538982,Excessive
18010201,42.5936,-121.8906,1410,527.153912248272,Excessive
18010202,42.45795,-121.16655,617.5,119.875022162681,Excessive
18010203,42.7203,-122.097,1165,394.753171122835,Excessive
18010204,41.7857,-121.236466666667,1026.66666666667,323.556586803853,Excessive
18010205,41.785,-121.82,610,112.297416175949,Excessive
18010206,41.8719,-123.1347,610,112.297416175949,Excessive
18010207,41.6058,-122.6474,375,71.7626952506422,Excessive
18010208,41.68255,-122.94675,840,224.157374328234,Excessive
18010209,41.4462666666667,-123.7172,536.666666666667,96.6047490888059,Excessive
18010211,40.8915,-123.02,1260,474.68534347857,Excessive
18020001,42.181,-120.3475,1370,505.615450207487,Excessive
18020002,41.48665,-120.5766,670,140.637555407856,Excessive
18020003,41.2321,-121.654166666667,816.666666666667,237.308805356877,Excessive
18020004,40.7998,-122.3165,830,216.519590250309,Excessive
