HUC_8,P_emitted (kg/year),P_emittedManure  (kg/year),P_emittedFertilizer  (kg/year),P_uptake  (kg/year),P_balance  (kg/year),P_TES (dimensionless metric),P Saturation
2010003,158469.792961609,117194.630555621,41275.162405988,2138489.52187246,-1980019.72891085,12.4946192703775,Not saturated
2010004,38268.6069401421,27114.4380005036,11154.1689396385,1502214.22773467,-1463945.62079453,38.2544790063657,Not saturated
2010005,268745.165874331,215871.569620589,52873.5962537422,2625720.62247938,-2356975.45660504,8.77029898914422,Not saturated
2010006,58928.4911110994,42348.8448923149,16579.6462187845,2352103.90506949,-2293175.41395839,38.9145449123245,Not saturated
2010007,641979.060387883,533969.463318252,108009.59706963,1770338.13353778,-1128359.0731499,1.75762597687866,Not saturated
2010008,1470106.15280589,1116919.94467873,353186.208127159,15325448.518035,-13855342.3652292,9.4247223840159,Not saturated
2020001,10111.0211848541,8039.05526412325,2071.96592073086,3623268.58658323,-3613157.56539838,357.348431908217,Not saturated
2020002,29297.4956639253,21358.5637240463,7938.93193987906,2885914.95592332,-2856617.46025939,97.5038103265873,Not saturated
2020003,857095.550071219,570552.864172384,286542.685898835,1397285.1953041,-540189.64523288,0.630256037600468,Not saturated
2020004,1537594.36141721,931924.669165147,605669.692252061,5829300.98253073,-4291706.62111352,2.79118259588168,Not saturated
2020005,297419.225500851,198694.52838535,98724.6971155011,5161691.51714192,-4864272.29164107,16.3549356416005,Not saturated
2020006,622318.683399652,342375.931877914,279942.751521738,1245432.56202942,-623113.878629767,1.00127779424164,Not saturated
2020007,402896.063825352,150506.317917382,252389.745907969,2647089.93546685,-2244193.8716415,5.5701558618709,Not saturated
2020008,158120.867542712,55255.6368611873,102865.230681525,2458255.59504419,-2300134.72750148,14.5466867419012,Not saturated
2030101,56085.2325221467,41817.7318477075,14267.5006744392,23723350.982315,-23667265.7497929,421.98747665791,Not saturated
2030102,606.96356714804,42.4925546510767,564.471012496963,4797164.1964109,-4796557.23284375,7902.54554384788,Not saturated
2030103,31103.4253830414,5650.03461044364,25453.3907725978,1111661.76921774,-1080558.3438347,34.7408148950646,Not saturated
2030104,29264.2683421354,895.961526800948,28368.3068153344,523586.577283339,-494322.308941203,16.8916681313186,Not saturated
2030105,373707.228653211,29030.2456256753,344676.983027535,1796346.63462917,-1422639.40597596,3.80682870680066,Not saturated
2030201,23467.7930396653,621.423056926305,22846.369982739,4331732.24965953,-4308264.45661986,183.582003187859,Not saturated
2030202,250272.039666634,5166.84037426907,245105.199292365,5388159.97913409,-5137887.93946745,20.5292127171345,Not saturated
2030203,205.442749090256,174.332261424084,31.1104876661722,10663370.8427204,-10663165.3999713,51903.3426450438,Not saturated
2040101,194014.354079139,139436.931545561,54577.422533578,14249529.7657309,-14055515.4116517,72.4457501011418,Not saturated
2040102,44882.4476599984,30234.7027584664,14647.744901532,1048193.28352267,-1003310.83586267,22.3541916310611,Not saturated
2040103,104843.618243566,94091.0182091178,10752.6000344479,877162.2955156,-772318.677272034,7.36638710310278,Not saturated
2040104,36944.0477226012,6756.36054531181,30187.6871772894,957860.219394986,-920916.171672385,24.9273219487803,Not saturated
2040105,962361.827238284,353866.793098996,608495.034139289,2768553.53532092,-1806191.70808263,1.87683224433986,Not saturated
2040106,683223.430723316,322753.067733849,360470.362989467,3371211.6946264,-2687988.26390309,3.93427412326502,Not saturated
2040201,385372.312983955,20198.2864157465,365174.026568208,3693186.69200142,-3307814.37901746,8.58342508678142,Not saturated
2040202,505646.3738814,59969.1089695246,445677.264911875,1502641.95476456,-996995.580883161,1.97172496903341,Not saturated
2040203,2987092.70016991,1853494.19820058,1133598.50196933,3794218.33405825,-807125.633888341,0.270204414426921,Not saturated
2040204,0,0,0,1079074.55566086,-1079074.55566086,inf,Not saturated
2040205,1009654.64662557,247118.266726825,762536.379898747,12533407.5111299,-11523752.8645043,11.4135589857567,Not saturated
2040206,993310.795206548,245490.939062747,747819.856143801,41608091.9494119,-40614781.1542053,40.8882913084217,Not saturated
2040207,1822447.00667981,1190597.93472188,631849.071957933,22247963.3696815,-20425516.3630017,11.2077422762561,Not saturated
2040301,178310.547658683,6074.69812316141,172235.849535521,3172423.37043961,-2994112.82278093,16.7915631581828,Not saturated
2040302,101227.960529537,4026.82656761853,97201.133961918,7183092.0487765,-7081864.08824696,69.9595650371777,Not saturated
2040303,1513814.17429145,1207923.4348085,305890.73948295,12534454.0161315,-11020639.84184,7.28004799333993,Not saturated
2040304,231483.463737541,130386.560808973,101096.902928568,1429626.41483949,-1198142.95110195,5.17593322545243,Not saturated
