HUC_8,P_emitted,P_emittedManure,P_emittedFert,P_uptake,P_balance,P_TES,P Saturation
02080110,1433757.7313151874,1310839.7100848968,122918.021230291,6806589.708580037,-5372831.9772648495,3.7473778588355686,Not saturated
02080111,2052467.258307007,1769146.1227802988,283321.1355267081,23188881.90939071,-21136414.651083704,10.298052047133865,Not saturated
02080201,725490.7921976644,603956.0700798322,121534.72211783205,18455200.878201496,-17729710.086003833,24.43822895711303,Not saturated
02080202,843249.5385470756,661916.9202489478,181332.6182981279,1421156.193136659,-577906.6545895834,0.6853329034550322,Not saturated
02080203,1012984.0802856459,867286.8168536561,145697.26343199005,1101660.77840184,-88676.69811619411,0.08754007080860407,Not saturated
02080204,381367.7095480757,315492.8836254715,65874.8259226042,13024335.688389173,-12642967.978841096,33.15164777275751,Not saturated
02080205,536630.0302195121,434353.8095919113,102276.2206276006,8268916.025381875,-7732285.995162363,14.408969978812815,Not saturated
02080206,654639.7687344512,293474.3237223537,361165.4450120975,12436949.82576812,-11782310.05703367,17.998158101227517,Not saturated
02080207,1525981.432539027,1101249.1056945948,424732.3268444322,11983014.806192145,-10457033.373653118,6.852660950306602,Not saturated
02080208,307642.70455362875,134651.20799131677,172991.49656231198,25791860.09121402,-25484217.38666039,82.83706068582536,Not saturated
03010101,1749488.824198899,900427.6336210496,849061.1905778499,1997350.3174715172,-247861.49327261816,0.1416765227900872,Not saturated
03010102,1251417.3337034076,764277.7433067791,487139.5903966284,8301253.935142691,-7049836.601439284,5.633481662409299,Not saturated
03010103,1380653.2418326596,562178.9459233708,818474.2959092889,39640.510613039674,1341012.73121962,-0.9712885832503306,Saturated
03010104,862926.7484483081,430377.651890159,432549.0965581492,77917.43066464155,785009.3177836665,-0.9097056258775723,Saturated
03010105,452305.5317002669,213050.9596330472,239254.57206721965,1783811.7393777631,-1331506.2076774961,2.943820303661147,Not saturated
03010106,545878.2724600906,336635.3221622833,209242.95029780726,10965514.192080054,-10419635.919619964,19.087837793327356,Not saturated
03010107,2085517.586322114,750510.3574892515,1335007.2288328626,0.0,2085517.586322114,-1.0,Saturated
03010201,1256518.1850512507,422101.63512323867,834416.5499280122,4964341.274843263,-3707823.0897920127,2.9508710131726255,Not saturated
03010202,1099484.4708176146,505296.5534791402,594187.9173384744,120252.7286837403,979231.7421338743,-0.8906280789993185,Saturated
03010203,1927233.9417788216,662163.1250537104,1265070.8167251116,1390611.8114738152,536622.1303050064,-0.278441614519153,Saturated
03010204,1773493.731457992,866997.3421069876,906496.3893510044,164271.77940278174,1609221.9520552102,-0.9073739159665742,Saturated
03010205,4042253.3778529735,604805.3586628168,3437448.019190157,224554.03808901343,3817699.33976396,-0.944448302197156,Saturated
03020101,1808604.8533848915,1054609.9681790955,753994.8852057961,14860532.114892686,-13051927.261507794,7.216572064970676,Not saturated
03020102,1278328.3504236182,663097.3895180656,615230.9609055527,831275.4403388975,447052.9100847207,-0.3497168078425033,Saturated
03020103,2027399.137157259,988889.144403152,1038509.9927541069,12449779.719764065,-10422380.582606805,5.140764041766667,Not saturated
03020104,1559375.4607470431,311960.4413789204,1247415.0193681226,6946072.367715759,-5386696.9069687165,3.4543937894137025,Not saturated
03020105,240204.0079375961,8884.336732615991,231319.6712049801,9534228.062414454,-9294024.054476859,38.69221056832409,Not saturated
03020201,4106010.0241263914,2536054.2610914954,1569955.7630348953,24755725.702875827,-20649715.678749435,5.029144000480841,Not saturated
03020202,4075310.1524658836,2603554.3903883924,1471755.762077491,1042043.9116584552,3033266.2408074285,-0.7443031640112259,Saturated
03020203,4278469.971006939,3143631.3184970194,1134838.6525099198,8114378.142533264,-3835908.171526325,0.8965607325797224,Not saturated
03020204,1824921.824640987,935379.5976997252,889542.2269412616,983479.0557321536,841442.7689088334,-0.4610842818290962,Saturated
03020301,808904.4298377165,454396.7112321317,354507.71860558493,3285006.031915677,-2476101.60207796,3.0610558067715354,Not saturated
03020302,1213097.7361954078,905081.3153580469,308016.42083736084,1176645.264531754,36452.47166365385,-0.030049080610749755,Saturated
03030002,2140308.5533438227,998511.3354678464,1141797.2178759763,1313399.8222568277,826908.731086995,-0.3863502436576765,Saturated
03030003,2674132.8472865457,2042537.552551477,631595.2947350687,55411.73289436847,2618721.114392177,-0.9792786162622418,Saturated
03030004,2520401.314643902,1630263.5042431164,890137.8104007853,36199.5851397446,2484201.7295041573,-0.9856373725368974,Saturated
03030005,2267764.0158307883,975760.7141939013,1292003.3016368866,312.3044668270806,2267451.711363961,-0.9998622852886601,Saturated
03030006,13753811.92749309,11730808.791974572,2023003.135518518,9057113.208439592,4696698.719053498,-0.34148341883787603,Saturated
03030007,13904648.169150472,11259195.760148425,2645452.409002046,660937.8508107732,13243710.318339698,-0.9524664095940836,Saturated
03040101,4709652.143692881,2907144.841826558,1802507.3018663216,3378981.5095805754,1330670.6341123055,-0.28254117151610153,Saturated
03040102,2565362.241094116,1356765.9298888315,1208596.311205285,20339533.65034004,-17774171.409245923,6.928523046189888,Not saturated
03040103,1709959.8061836846,931610.186621592,778349.6195620927,525781.9073623463,1184177.8988213383,-0.6925179729599641,Saturated
