,Flow (m3/day),Operation cost (USD/year),Capital cost (USD)
159,795.1,6107.72960094,53125.848786998904
160,800.1,6107.72960094,53125.848786998904
161,805.1,6107.72960094,53125.848786998904
162,810.1,6107.72960094,53125.848786998904
163,815.1,6107.72960094,53125.848786998904
164,820.1,6107.72960094,53125.848786998904
165,825.1,6107.72960094,53125.848786998904
166,830.1,6107.72960094,53125.848786998904
167,835.1,6107.72960094,53125.848786998904
168,840.1,6107.72960094,53125.848786998904
169,845.1,6107.72960094,53125.848786998904
170,850.1,6107.72960094,53125.848786998904
171,855.1,6107.72960094,53125.848786998904
172,860.1,6107.72960094,53125.848786998904
173,865.1,6107.72960094,53125.848786998904
174,870.1,6107.72960094,53125.848786998904
175,875.1,6107.72960094,53125.848786998904
176,880.1,6107.72960094,53125.848786998904
177,885.1,6107.72960094,53125.848786998904
178,890.1,6107.72960094,53125.848786998904
179,895.1,6107.72960094,53125.848786998904
180,900.1,6107.72960094,53125.848786998904
181,905.1,6107.72960094,53125.848786998904
182,910.1,6107.72960094,53125.848786998904
183,915.1,6107.72960094,53125.848786998904
184,920.1,6107.72960094,53125.848786998904
185,925.1,6107.72960094,53125.848786998904
186,930.1,6107.72960094,53125.848786998904
187,935.1,6107.72960094,53125.848786998904
188,940.1,6107.72960094,53125.848786998904
189,945.1,6107.72960094,53125.848786998904
190,950.1,6107.72960094,53125.848786998904
191,955.1,6107.72960094,53125.848786998904
192,960.1,6107.72960094,53125.848786998904
193,965.1,6107.72960094,53125.848786998904
194,970.1,6107.72960094,53125.848786998904
195,975.1,6107.72960094,53125.848786998904
196,980.1,6107.72960094,53125.848786998904
197,985.1,6107.72960094,53125.848786998904
198,990.1,6107.72960094,53125.848786998904
199,995.1,6107.72960094,53125.848786998904
200,1000.1,6107.72960094,53125.848786998904
201,1005.1,6107.72960094,53125.848786998904
202,1010.1,6107.72960094,53125.848786998904
203,1015.1,6107.72960094,53125.848786998904
204,1020.1,6107.72960094,53125.848786998904
205,1025.1,6107.72960094,53125.848786998904
206,1030.1,6107.72960094,53125.848786998904
207,1035.1,6107.72960094,53125.848786998904
208,1040.1,6107.72960094,53125.848786998904
209,1045.1,6107.72960094,53125.848786998904
210,1050.1,6107.72960094,53125.848786998904
211,1055.1,6107.72960094,53125.848786998904
212,1060.1,6107.72960094,53125.848786998904
213,1065.1,6107.72960094,53125.848786998904
214,1070.1,6107.72960094,53125.848786998904
215,1075.1,6107.72960094,53125.848786998904
216,1080.1,6107.72960094,53125.848786998904
217,1085.1,6107.72960094,53125.848786998904
218,1090.1,6107.72960094,53125.848786998904
219,1095.1,7544.842448220001,70834.46504933188
220,1100.1,7544.842448220001,70834.46504933188
221,1105.1,7544.842448220001,70834.46504933188
222,1110.1,7544.842448220001,70834.46504933188
223,1115.1,7544.842448220001,70834.46504933188
