rec_id,lab_id,site_id,horizon,depth_cm,quartz_pct,tot_k_fs_pct,tot_plag_pct,tot_flds_pct,tot_14a_pct,tot_10a_pct,kaolinit_pct,tot_clay_pct,gibbsite_pct,calcite_pct,dolomite_pct,aragon_pct,tot_carb_pct,analcime_pct,heuland_pct,tot_zeol_pct,gypsum_pct,talc_pct,hornbl_pct,serpent_pct,hematite_pct,goethite_pct,pyroxene_pct,pyrite_pct,other_pct,amorph_pct,ag_ppm_q,ag_ppm,al_pct_q,al_pct,as_ppm_q,as_ppm,ba_ppm_q,ba_ppm,be_ppm_q,be_ppm,bi_ppm_q,bi_ppm,c_tot_pct,c_tot_pct_q,c_inorg_pct,c_inorg_pct_q,c_org_pct,c_org_pct_q,ca_pct_q,ca_pct,cd_ppm_q,cd_ppm,ce_ppm_q,ce_ppm,co_ppm_q,co_ppm,cr_ppm_q,cr_ppm,cs_ppm_q,cs_ppm,cu_ppm_q,cu_ppm,fe_pct_q,fe_pct,ga_ppm_q,ga_ppm,hg_ppm_q,hg_ppm,in_ppm_q,in_ppm,k_pct_q,k_pct,la_ppm_q,la_ppm,li_ppm_q,li_ppm,mg_pct_q,mg_pct,mn_ppm_q,mn_ppm,mo_ppm_q,mo_ppm,na_pct_q,na_pct,nb_ppm_q,nb_ppm,ni_ppm_q,ni_ppm,p_ppm_q,p_ppm,pb_ppm_q,pb_ppm,rb_ppm_q,rb_ppm,s_pct_q,s_pct,sb_ppm_q,sb_ppm,sc_ppm_q,sc_ppm,se_ppm_q,se_ppm,sn_ppm_q,sn_ppm,sr_ppm_q,sr_ppm,te_ppm_q,te_ppm,th_ppm_q,th_ppm,ti_pct_q,ti_pct,tl_ppm_q,tl_ppm,u_ppm_q,u_ppm,v_ppm_q,v_ppm,w_ppm_q,w_ppm,y_ppm_q,y_ppm,zn_ppm_q,zn_ppm,
21,C-328816,3616,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,0.26,,0.9,,24,<0.1,,<0.04,,,,,,,,<0.01,,<0.1,,,7.97,,0.4,,3,<5,,,3,,0.14,,0.65,,0.01,<0.02,,,0.02,,4.4,,2,<0.01,,,15,,0.24,<0.01,,,1.9,,1.8,<50,,,5.5,,2.1,<0.01,,,0.12,,0.4,<0.2,,,0.2,,3.9,<0.1,,,1.2,,0.06,<0.1,,,0.3,,4,,0.1,,1.2,,5
22,C-328865,3728,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,0.96,,1.4,,92,,0.4,,0.06,,,,,,,<0.01,,<0.1,,,64.6,,2.3,,14,<5,,,4.3,,0.43,,2.97,,0.02,<0.02,,,0.13,,31.5,,6,,0.04,,375,,0.3,<0.01,,,4.6,,3.8,,220,,7.4,,13.9,<0.01,,,0.17,,1.5,<0.2,,,0.7,,7.8,<0.1,,,9.7,,0.17,,0.1,,1.6,,13,,0.3,,11.8,,13
23,C-328786,3792,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,4.32,,3.3,,164,,0.8,,0.14,,,,,,,<0.01,,<0.1,,,29.1,,3.1,,37,<5,,,15.2,,3.06,,13.4,,0.03,,0.05,,0.5,,10.1,,11,,0.08,,161,,0.71,,0.03,,15.5,,9.5,,250,,13.5,,32.5,,0.01,,0.26,,7,,0.4,,1.8,,12,<0.1,,,8.9,,0.5,,0.3,,2.5,,56,,0.7,,4.8,,33
24,C-328874,3872,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,7.15,,5.6,,461,,2.2,,0.35,,,,,,,,6.26,,0.2,,69.8,,20.1,,76,,8,,24.2,,3.82,,21.3,,0.02,,0.06,,1.55,,34.4,,40,,1.02,,243,,0.57,,0.06,,10.6,,39.6,,790,,21.3,,116,,0.04,,0.65,,12.9,,0.5,,2,,325,<0.1,,,11.1,,0.27,,0.5,,1.8,,195,,1,,20,,120
25,C-328876,3984,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,2.23,,4.6,,117,,0.5,,0.17,,,,,,,,0.08,<0.1,,,51.5,,4.2,,32,<5,,,5.9,,1.67,,7.45,,0.02,<0.02,,,0.29,,24.7,,16,,0.1,,176,,0.97,,0.02,,10.9,,6.5,,410,,13.4,,28.9,,0.01,,0.44,,3.6,,0.4,,1,,20.8,<0.1,,,7.6,,0.41,,0.3,,2.6,,40,,0.6,,9.8,,28
26,C-328791,4192,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1,,1.8,,51,,0.2,,0.08,,,,,,,<0.01,,<0.1,,,33.3,,0.9,,13,<5,,,3.6,,0.51,,2.85,,0.02,<0.02,,,0.08,,13.7,,5,,0.02,,53,,0.33,<0.01,,,5,,2.5,,80,,6.5,,7.2,<0.01,,,0.19,,2.2,<0.2,,,0.5,,6.1,<0.1,,,6.6,,0.24,<0.1,,,1.1,,15,,0.2,,4.9,,7
27,C-328780,4304,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.87,,2.9,,137,,0.4,,0.08,,,,,,,,0.02,,0.2,,40,,3.6,,20,<5,,,5.4,,0.76,,4.27,,0.03,<0.02,,,0.27,,15.9,,11,,0.08,,187,,0.45,,0.02,,5.7,,6.6,,100,,10.1,,21.5,<0.01,,,0.28,,2.6,,0.3,,0.6,,18.9,<0.1,,,4.4,,0.22,,0.2,,1.3,,23,,0.4,,7.6,,23
28,C-328866,4384,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.22,,2.1,,118,,0.7,,0.06,,,,,,,,0.02,<0.1,,,52.9,,4.4,,25,<5,,,9.3,,1.23,,3.58,,0.01,<0.02,,,0.26,,19.5,,6,,0.06,,273,,0.42,<0.01,,,4.7,,6.4,,480,,9.9,,28.6,<0.01,,,0.37,,1.9,<0.2,,,0.6,,10.6,<0.1,,,3.7,,0.18,,0.1,,1.1,,24,,0.4,,19.8,,25
29,C-328877,4752,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,2.42,,4.7,,183,,0.7,,0.12,,,,,,,,0.03,<0.1,,,34.5,,5.3,,25,<5,,,9,,1.73,,8.25,,0.04,,0.02,,0.49,,16,,15,,0.09,,230,,0.81,,0.02,,7.3,,7.4,,190,,12.1,,48.6,,0.01,,0.43,,4.5,,0.5,,1.1,,23.3,<0.1,,,6.1,,0.24,,0.3,,1.7,,38,,0.5,,7.5,,25
30,C-329001,4816,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,8.09,,2.6,,268,,2.3,,0.11,,,,,,,,0.09,<0.1,,,43.9,,5.1,,19,<5,,,9.3,,3.18,,25.5,,0.06,,0.06,,0.55,,24.2,,23,,0.15,,126,,0.72,,0.01,,10.3,,8.6,,400,,17.1,,56.6,,0.03,,0.24,,8.8,,0.4,,4.4,,32.9,<0.1,,,7.8,,0.36,,0.4,,2.7,,63,,0.5,,8.8,,48
